エリア,所在地,名称,駐車場,交通アクセス,備考,緯度,経度,カテゴリ
北エリア,新宮市（旧熊野川町),御所本のカレントリップル,,・熊野御坊南海バス<br　/>新宮小口線、小口線「小口」バス停下車徒歩約5分,,33.7603111,135.8397111,地質・地形
北エリア,新宮市（旧熊野川町),和田川峡,,,,33.767625,135.8133102,"地質・地形,自然生態系"
北エリア,新宮市（旧熊野川町),田長の猪岩,,・熊野御坊南海バス<br　/>川丈線、新宮小口線　バス停「田長」下車徒歩約10分,,33.7955041,135.8932346,地質・地形
北エリア,新宮市（旧熊野川町),相須神丸(アイスカンマル)の高倉神社跡,,・熊野御坊南海バス<br　/>新宮小口線、小口線　バス停「谷口」下車徒歩約5分,,33.7904074,135.8537847,"地質・地形,文化歴史"
北エリア,新宮市（旧熊野川町),谷口の石炭層,,・熊野御坊南海バス<br　/>新宮小口線、小口線　バス停「谷口」下車徒歩約15分,,33.7838724,135.841244,"地質・地形,文化歴史"
北エリア,新宮市（旧熊野川町),小雲取越,あり（小和瀬）,・熊野御坊南海バス　新宮小口線、小口線<br　/>「小和瀬」バス停下車すぐ,トイレあり（駐車場）本宮町請川にもトイレありまた、道中の林道との交差点付近にもトイレあり,33.7919165,135.8221292,"地質・地形,文化歴史"
北エリア,新宮市（旧熊野川町),万才峠道,「瀞峡めぐりの里熊野川」の駐車場あり,・熊野御坊南海バス　川丈線<br　/>・奈良交通バス　八木新宮線　<br　/>・明光バス　快速熊野古道線<br　/>「志古」バス停下車,「瀞峡めぐりの里熊野川」のトイレあり,33.80510540671508,135.8295595626327,"地質・地形,文化歴史"
北エリア,新宮市（旧熊野川町),一遍上人名号碑建立之地,「瀞峡めぐりの里熊野川」の駐車場あり,・熊野御坊南海バス　川丈線<br　/>・奈良交通バス　八木新宮線　<br　/>・明光バス　快速熊野古道線<br　/>「志古」バス停下車,「瀞峡めぐりの里熊野川」のトイレあり,33.808517,135.832855,文化歴史
北エリア,新宮市（旧熊野川町),志古の磐座,「瀞峡めぐりの里熊野川」の駐車場あり,・熊野御坊南海バス　川丈線<br　/>・奈良交通バス　八木新宮線　<br　/>・明光バス　快速熊野古道線<br　/>「志古」バス停下車徒歩約5分,「瀞峡めぐりの里熊野川」のトイレあり,33.815394,135.856236,"地質・地形,文化歴史"
北エリア,新宮市（旧熊野川町),志古の貝持嶋,あり（志古の乗船場（瀞峡めぐりの里熊野川）駐車場）,・熊野御坊南海バス　川丈線<br　/>・奈良交通バス　八木新宮線　<br　/>・明光バス　快速熊野古道線<br　/>「志古」バス停下車すぐ,「瀞峡めぐりの里熊野川」のトイレあり,33.8146368,135.8583498,"地質・地形,文化歴史"
